Date,Total_arrival,Humidity,Events,Weather,Rainfall
2004-01,0,0.0,,0,0.0
2004-01,0,0.0,,0,0.0
2004-01,0,0.0,,0,0.0
2004-01,0,0.0,,0,0.0
2004-01,0,0.0,,0,0.0
2004-01,0,0.0,,0,0.0
2004-01,0,0.0,,0,0.0
2004-01,0,0.0,,0,0.0
2004-01,0,0.0,,0,0.0
2004-01,0,0.0,,0,0.0
2004-01,0,0.0,,0,0.0
2004-01,0,0.0,,0,0.0
2004-01,0,0.0,,0,0.0
2004-01,0,0.0,,0,0.0
2004-01,0,0.0,,0,0.0
2004-01,0,0.0,,0,0.0
2004-02,1084,95.03,Ibeno Beach,Cloudy,23.0
2004-02,1084,95.03,Ibeno Beach,Cloudy,23.0
2004-02,1084,95.03,Ibeno Beach,Cloudy,23.0
2004-02,1084,95.03,Ibeno Beach,Cloudy,23.0
2004-02,1084,95.03,Ibeno Beach,Cloudy,23.0
2004-02,1084,95.03,Ibeno Beach,Cloudy,23.0
2004-02,1084,95.03,Ibeno Beach,Cloudy,23.0
2004-02,1084,95.03,Ibeno Beach,Cloudy,23.0
2004-02,1084,95.03,Ibeno Beach,Cloudy,23.0
2004-02,1084,95.03,Ibeno Beach,Cloudy,23.0
2004-02,1084,95.03,Ibeno Beach,Cloudy,23.0
2004-02,1084,95.03,Ibeno Beach,Cloudy,23.0
2004-02,1084,95.03,Ibeno Beach,Cloudy,23.0
2004-02,1084,95.03,Ibeno Beach,Cloudy,23.0
2004-02,1084,95.03,Ibeno Beach,Cloudy,23.0
2004-02,1084,95.03,Ibeno Beach,Cloudy,23.0
2004-03,2010,80.41,Ibeno Beach,Sunny,289.82
2004-03,2010,80.41,Ibeno Beach,Sunny,289.82
2004-03,2010,80.41,Ibeno Beach,Sunny,289.82
2004-03,2010,80.41,Ibeno Beach,Sunny,289.82
2004-03,2010,80.41,Ibeno Beach,Sunny,289.82
2004-03,2010,80.41,Ibeno Beach,Sunny,289.82
2004-03,2010,80.41,Ibeno Beach,Sunny,289.82
2004-03,2010,80.41,Ibeno Beach,Sunny,289.82
2004-03,2010,80.41,Ibeno Beach,Sunny,289.82
2004-03,2010,80.41,Ibeno Beach,Sunny,289.82
2004-03,2010,80.41,Ibeno Beach,Sunny,289.82
2004-03,2010,80.41,Ibeno Beach,Sunny,289.82
2004-03,2010,80.41,Ibeno Beach,Sunny,289.82
2004-03,2010,80.41,Ibeno Beach,Sunny,289.82
2004-03,2010,80.41,Ibeno Beach,Sunny,289.82
2004-03,2010,80.41,Ibeno Beach,Sunny,289.82
2004-04,3719,72.44,Ekpo Display,Cloudy,121.83
2004-04,3719,72.44,Ekpo Display,Cloudy,121.83
2004-04,3719,72.44,Ekpo Display,Cloudy,121.83
2004-04,3719,72.44,Ekpo Display,Cloudy,121.83
2004-04,3719,72.44,Ekpo Display,Cloudy,121.83
2004-04,3719,72.44,Ekpo Display,Cloudy,121.83
2004-04,3719,72.44,Ekpo Display,Cloudy,121.83
2004-04,3719,72.44,Ekpo Display,Cloudy,121.83
